,guest 1,guest 2,guest 3,guest 4,guest 5,guest 6,guest 7,guest 8,guest 9,guest 10,guest 11,guest 12,guest 13,guest 14,guest 15,guest 16,guest 17,guest 18,guest 19,guest 20,guest 21,guest 22,guest 23,guest 24,guest 25,guest 26,guest 27,guest 28,guest 29,guest 30
161,c,苦苓,溫士凱,李昂,謝哲青,H,,,,,,,,,,,,,,,,,,,,,,,,
162,c,熊熊,趙正平,嘻小瓜,LALA,博焱,何美,,,,,,,,,,,,,,,,,,,,,,,
163,c,評審,Dennis黃鐙輝,民雄,斯亞,大飛,大根,大?,曾治豪,安苡愛,安喬,何美,,,,,,,,,,,,,,,,,,
164,c,媳婦,吳姵穎,三?媽,Vien,可芸,羅莉勤,婆婆,萁媽,阿秀,宜真,江柃榛,張惠聊,,,,,,,,,,,,,,,,,
165,c,田舞陽,梁凱莉,山豬,詹子晴,鯰魚,,,,,,,,,,,,,,,,,,,,,,,,
166,c,李亞萍,吳鳳,雙兒余祥銓,Rynne,張克帆,,,,,,,,,,,,,,,,,,,,,,,,
167,c,評審,丁曉雯南拳媽媽,小鐘,Makiyo,康康,董事長樂團,,,,,,,,,,,,,,,,,,,,,,,
168,c,阿布,苦苓,張雁名,謝哲青,侯昌明,,,,,,,,,,,,,,,,,,,,,,,,
169,c,琳妲,廖慧珍,趙正平,古拉,張友驊,蔡允潔,,,,,,,,,,,,,,,,,,,,,,,
170,c,孫協志,趙正平,郭鑫,Ben,蔡允潔,LALA,PTT台綜版版主,陳彥碩,,,,,,,,,,,,,,,,,,,,,
171,c,周定緯,佟凱玲,許含光,黃鐙輝,陳大天,阿虎,安苡愛,無尊,李建軒,撒基努,紫棋妹,,,,,,,,,,,,,,,,,,
172,c,瑜庭,吉姆,喬老師,西門夜說,修分靈,馮羿,?榮宏,楊元慶,李俊翰,,,,,,,,,,,,,,,,,,,,
173,c,王中平,Paul,撒基努,Michael,陳致遠,,,,,,,,,,,,,,,,,,,,,,,,
174,c,小甜甜,黃豪平,成語蕎王宇婕,Eason,小優,,,,,,,,,,,,,,,,,,,,,,,,
175,c,王瑞霞,黃妃,秀蘭瑪雅,小鐘,麻吉弟弟,楊東霖,小晶玲,宋費爾,安雨晨,宛宛兒,,,,,,,,,,,,,,,,,,,
176,c,小煜,施芊芸,古墨,歐弟,樂事,黃品誠,,,,,,,,,,,,,,,,,,,,,,,
177,c,林秀琴,Maya,劉雨柔,徐小可,Mei,,,,,,,,,,,,,,,,,,,,,,,,
178,c,陳宇風,梁以辰,趙正平,張雁名,張庭瑚,,,,,,,,,,,,,,,,,,,,,,,,
179,c,小鐘,黃若熙,張三李四,林吟蔚,大根,阿虎,,,,,,,,,,,,,,,,,,,,,,,
