"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","51","52","53","54","55","56","57","58","59","60","61","62","63","64","65","66","67","68","69"
"御",0.0270418983931949,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"晚上",0.0136090185404715,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0110634467271459,0,0
"規模",0.017512848483212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"報馬仔",0.00892392649720484,0.0055923272715817,0,0.00693263711353104,0,0,0.00873801136184641,0,0.00676491202207464,0,0,0,0,0,0.00578516614301555,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00582534090789761,0,0,0,0,0,0.004391880056216,0,0,0,0,0.00729433991945439,0.00505330777552563,0
"報導",0.0131573308447797,0,0,0,0,0,0.00502759796507843,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00745053674342948,0,0,0,0,0,0,0,0,0,0,0.00835668310411684,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"就",0.00477121254719662,0.00502232899704908,0.00411311426482468,0.00277396078325385,0.00644758452323868,0.00837054832841513,0,0,0,0,0.00372750980249736,0,0.00231612259572652,0,0,0,0,0,0,0,0,0,0,0,0,0.00411311426482468,0.00277396078325385,0,0,0.00486858423183329,0,0,0,0.00372750980249736,0.00358737785503506,0,0.00213000560142706,0,0.00472397281900656,0,0,0,0.00502232899704908,0.00378667662475923,0.00596401568399578,0,0.00477121254719662,0,0,0,0,0,0,0,0,0.00536091297437823,0,0,0.00231612259572652,0,0,0,0.00574844885204413,0,0,0,0,0.00596401568399578,0
"插",0.0189572071210026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"週六",0.0155335262128614,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01201421168026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"新",0.0045355553354012,0,0,0,0,0.00470563866047874,0,0,0,0,0,0,0,0.00384133768202346,0,0,0.00845957511996178,0.00294102416279921,0.00566091868929773,0,0.00168058523588526,0.00256089178801564,0.00372723854295346,0.0045355553354012,0,0,0.00396264308250841,0,0.00470563866047874,0,0,0,0,0,0,0.00660440513751402,0,0.0035852485032219,0,0,0,0.00283045934464887,0,0.00168058523588526,0,0,0.0045355553354012,0.00224078031451369,0.00488897523166622,0.00396264308250841,0.00298770708601825,0.00470563866047874,0,0.00752902185676598,0,0,0.00218866914440872,0,0.0198132154125421,0,0.0035852485032219,0,0.00422978755998089,0,0,0,0.00168058523588526,0,0.00372723854295346
"<b8>",0.00444909931749122,0.0166407870576295,0,0.00608231299100066,0.0080756760720849,0,0,0,0,0.0019652463242906,0.00889819863498244,0.00835656915285307,0,0.00276150992120145,0.00340782075382306,0.00213556767239579,0,0,0.00636427452038479,0.00169489497809189,0,0.0141324331261486,0.00775004397240406,0.00222454965874561,0.0166407870576295,0,0.00405487532733377,0,0,0,0.00330242423566359,0,0,0.00889819863498244,0,0,0,0.00681564150764612,0.00640670301718736,0,0,0.00212142484012826,0.00338978995618379,0,0,0,0,0.00416019676440737,0.00342604439421784,0.00202743766366688,0.0053837840480566,0,0.00167714738669826,0.00330242423566359,0,0,0,0,0,0,0,0,0,0.00264739794098651,0.00212142484012826,0,0,0.0141324331261486,0.00258334799080135
"道",0.0197725708681425,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"榮獲",0.0206612257386208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"滿田",0.0135209491965975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"福",0.0612949696912418,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"標竿",0.0265141223288496,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0104613543882536,0,0,0,0,0,0,0,0,0,0
"獎項",0.0112812827652592,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
